run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary
greyhole_i0.0_r1,greyhole,0.0,1,4,12.060896397699938,11.835409312668867,21554,0.8690778597637192,0.9328756674294432,0.06144913511551953,31.816329802383166,10.681187203794579,11.141198963171593,2.840049012898143,0.059912487377987204,greyhole,attack
greyhole_i0.0_r2,greyhole,0.0,2,5,12.86493475676208,12.64581012922393,26647,0.8974471238043917,0.8265993265993266,0.08716152498989627,35.873627530180116,15.294303344749249,17.95990849515928,10.197517280136429,0.048665679134562774,greyhole,attack
greyhole_i0.0_r3,greyhole,0.0,3,5,10.329277779343883,10.080186903757545,17441,0.8336998087954111,0.9547228727556596,0.024904397705544933,17.153408023565426,8.427155474925048,6.879446616997131,2.7205201467022357,0.0570252222782444,greyhole,attack
greyhole_i0.0_r4,greyhole,0.0,4,6,12.097047803616501,11.866118327991895,29921,0.886889764946498,0.7378190255220418,0.23446068115125826,49.101743853630644,14.44109886351098,23.324765809200414,7.154701376525813,0.04189795966267001,greyhole,attack
greyhole_i0.0_r5,greyhole,0.0,5,8,10.73119973339889,10.389428129070597,18170,0.7817407391472702,0.981624184943687,0.008819859742718237,18.643887144953588,7.124866842217996,9.571256252062742,5.519001427339126,0.042459291043426904,greyhole,attack
greyhole_i0.0_r6,greyhole,0.0,6,4,10.060372427666758,9.83891963606011,18613,0.8495595417408371,0.9897510980966325,0.00862659181158428,14.10907799296928,6.828634178693858,5.476822106985133,1.8685643370587557,0.04411195010891447,greyhole,attack
greyhole_i0.0_r7,greyhole,0.0,7,7,11.208126019453156,10.939221341944158,17015,0.8146605381595327,0.981245311327832,0.02551948673752753,25.27576778921459,10.411320741963154,10.010578328719335,6.3255844702081205,0.05050514510340986,greyhole,attack
greyhole_i0.0_r8,greyhole,0.0,8,5,11.864226717008682,11.635862099395508,22656,0.8846198898910624,0.8637184115523465,0.13978368669712232,37.89343768614733,12.225086863739655,27.15659034335156,12.769814835160641,0.05845268976232458,greyhole,attack
greyhole_i0.0_r9,greyhole,0.0,9,8,9.708534734354473,9.364920996208392,17849,0.7649680709724425,0.9446685878962536,0.020357433677623965,22.471948358120315,7.5990688203600225,8.22439516233395,4.971896306221671,0.04943655657213707,greyhole,attack
greyhole_i0.0_r10,greyhole,0.0,10,7,11.155762011052637,10.91143964403617,27507,0.8706124386770059,0.8101449275362319,0.22209210318088304,35.87557957303091,12.335037570121276,17.22519584622604,8.945513686794069,0.06829022855058565,greyhole,attack
